"vismedId","name","doctoraliaDoctorId","status","bookings","primeiro","ultimo"
5765,"DRA. FERNANDA YACOUB DINIZ (ECO E DOPPLER DE CARÓTIDAS)","503019","BOOKED",21,"2026-08-12 16:00:00","2026-10-14 16:00:00"
5754,"DRA. CAMILLE L. VIN (PEDIATRIA)",NULL,"BOOKED",3,"2026-08-25 17:00:00","2026-10-13 17:00:00"
6948,"DRA. THAISE MACHADO ROCHA (MEDICA DA FAMILIA - CLÍNICO - OTORRINO - GINECO - GERIATRIA)",NULL,"BOOKED",69,"2026-08-13 13:00:00","2026-10-13 17:00:00"
6977,"DRA.LEA MARIA FONTENELLE LOUREIRO LIMA ( NEUROLOGIA / PSIQUIATRIA )","883835","BOOKED",35,"2026-08-18 14:20:00","2026-10-13 12:00:00"
4522,"DRA. THATIANA DEOLA (OBSTETRICIA/GINECOLOGIA)",NULL,"CONFIRMED",21,"2026-08-15 11:00:00","2026-10-10 11:40:00"
1604,"DRA. DANIELA BUÇARD (GINECOLOGIA)","937509","BOOKED",44,"2026-08-14 11:20:00","2026-10-05 18:30:00"
2721,"DR. RAMON MARTINS (PSIQUIATRIA)",NULL,"BOOKED",39,"2026-08-17 14:10:00","2026-10-05 14:40:00"
4038,"DR. JOSE ROBERTO MENDONÇA (NEUROPEDIATRIA/NEUROLOGIA/GERIATRIA/PSIQUIATRIA/CLÍNICO)","144078","BOOKED",30,"2026-08-14 14:00:00","2026-10-02 12:00:00"
6970,"DR. JOÃO PEDRO FRIESE ODDO (NUTRICIONISTA)","1468777","BOOKED",6,"2026-08-24 16:00:00","2026-09-28 20:00:00"
6958,"DRA. ISABELA BAARS (NEUROPSICOLOGA)","898214","BOOKED",11,"2026-08-12 14:30:00","2026-09-24 13:00:00"
6990,"DRA. LUIZA PEREIRA DAS NEVES CARDOSO (ULTRASSONOGRAFIA)","1468800","BOOKED",9,"2026-08-17 12:50:00","2026-09-21 19:30:00"
4522,"DRA. THATIANA DEOLA (OBSTETRICIA/GINECOLOGIA)",NULL,"BOOKED",28,"2026-08-15 12:30:00","2026-09-19 14:00:00"
6959,"DR. LUIZ ANTONIO DE SOUZA (CARDIOLOGIA E CLINICO GERAL)","883828","BOOKED",22,"2026-08-12 16:40:00","2026-09-17 17:00:00"
6894,"DR. RAFAEL ARAGÃO RIBEIRO (MÉDICO DA FAMÍLIA - CLÍNICO GERAL)","937467","BOOKED",14,"2026-08-12 20:30:00","2026-09-16 21:10:00"
6921,"DR. RUBEN MENEZES NETO (ALERGO/DERMATO)","310682","BOOKED",13,"2026-08-19 18:20:00","2026-09-16 17:20:00"
1648,"DRA. ARTEMIS PALMEIRA (ENDOCRINOLOGISTA)",NULL,"BOOKED",22,"2026-08-12 12:00:00","2026-09-16 11:00:00"
4011,"DR DOMINGOS RENATO IMBROISI (CARDIOLOGISTA)","393002","BOOKED",7,"2026-08-18 18:20:00","2026-09-15 18:30:00"
6983,"DRA. CAROLINE DE MORAES SIQUEIRA CARDOSO (DERMATOLOGIA / CLINICO GERAL)","1468788","BOOKED",9,"2026-08-18 12:00:00","2026-09-15 12:00:00"
6896,"DRA. MARIA GABRIELA CAMPOS GOMES (MEDICA DA FAMILIA - CLINICO GERAL - OTORRINO - PSIQUIATRIA - ENDOCRINOLOGIA)","1468805","BOOKED",18,"2026-08-12 12:00:00","2026-09-14 20:00:00"
6897,"DRA. GLEICE BRANDÃO (DENTISTA)","937471","BOOKED",35,"2026-08-17 12:00:00","2026-09-14 14:00:00"
6961,"DRA JESSICA WIESELTHALLER VICENTE (ESTETICA)","1468786","BOOKED",5,"2026-08-20 16:30:00","2026-09-14 13:00:00"
1612,"DRA. AMÁLIA BOLDRIM (OFTALMOLOGIA)",NULL,"BOOKED",19,"2026-08-15 11:30:00","2026-09-14 12:30:00"
6986,"DRA. MARCELLA ALMEIDA DE SOUZA (ESTETICA)","1468803","BOOKED",4,"2026-08-18 12:00:00","2026-09-12 13:50:00"
1604,"DRA. DANIELA BUÇARD (GINECOLOGIA)","937509","CONFIRMED",10,"2026-08-14 10:30:00","2026-09-11 11:20:00"
4424,"DRA. JULIANA SOARES (DERMATOLOGISTA)",NULL,"BOOKED",23,"2026-08-13 16:30:00","2026-09-10 17:30:00"
6948,"DRA. THAISE MACHADO ROCHA (MEDICA DA FAMILIA - CLÍNICO - OTORRINO - GINECO - GERIATRIA)",NULL,"CONFIRMED",90,"2026-08-13 11:00:00","2026-09-10 11:00:00"
6484,"DRA. MARCIA MARIA FIONDA (GINECOLOGIA)",NULL,"BOOKED",17,"2026-08-12 12:10:00","2026-09-09 12:00:00"
6906,"CRISTIANE CANTARINO (ESPIROMETRIA, EEG E HOLTER)","706339","BOOKED",7,"2026-08-14 14:00:00","2026-09-07 13:00:00"
6971,"DRA. ANA CAROLINA BAPTISTA (GASTROENTEROLOGIA)",NULL,"BOOKED",16,"2026-08-12 12:30:00","2026-09-05 14:00:00"
6984,"DRA. ANA ISABELA ALVES DOS ANJOS BORGES (ULTRASSONOGRAFIA)","1468787","BOOKED",17,"2026-08-22 11:00:00","2026-09-05 14:00:00"
5494,"DR. PERICLES MELLO (HOMEOPATIA/CLÍNICO GERAL/PEDIATRIA/GERIATRIA)",NULL,"BOOKED",7,"2026-08-14 20:30:00","2026-09-04 20:30:00"
6966,"DRA BRUNA RIKLY (ESTETICA)","1468781","BOOKED",9,"2026-08-12 12:30:00","2026-09-04 17:00:00"
4907,"DR. PEDRO HEISLER (ULTRASSONOGRAFIA)",NULL,"BOOKED",21,"2026-08-12 13:20:00","2026-09-04 12:20:00"
1597,"DR. EDUARDO GALLO (ORTOPEDIA)",NULL,"CONFIRMED",45,"2026-08-12 16:50:00","2026-09-03 13:00:00"
4742,"DR. MAURO BARROSO (GASTROENTEROLOGIA/CIRURGIAO GERAL)",NULL,"CONFIRMED",6,"2026-08-13 12:00:00","2026-09-03 12:20:00"
6983,"DRA. CAROLINE DE MORAES SIQUEIRA CARDOSO (DERMATOLOGIA / CLINICO GERAL)","1468788","CONFIRMED",26,"2026-08-18 12:00:00","2026-09-01 20:50:00"
6996,"DRA. TAMIRES DE ARAÚJO FREITAS GOMES GOBBI E MELO (GINECOLOGIA E OBSTETRÍCIA)",NULL,"BOOKED",3,"2026-08-25 16:30:00","2026-09-01 19:00:00"
5754,"DRA. CAMILLE L. VIN (PEDIATRIA)",NULL,"CONFIRMED",5,"2026-08-18 17:00:00","2026-09-01 17:30:00"
5867,"MAPA - CAMPO VISUAL - TOX",NULL,"BOOKED",6,"2026-08-13 13:20:00","2026-09-01 11:40:00"
6735,"DR. NELSON ARAUJO DE SOUSA ( USG )","937737","BOOKED",5,"2026-08-18 10:50:00","2026-09-01 11:00:00"
6816,"DRA. ROBERTA NOGUEIRA FURTADO BUCARD (MASTOLOGIA)","832432","BOOKED",9,"2026-08-31 16:10:00","2026-08-31 18:50:00"
6896,"DRA. MARIA GABRIELA CAMPOS GOMES (MEDICA DA FAMILIA - CLINICO GERAL - OTORRINO - PSIQUIATRIA - ENDOCRINOLOGIA)","1468805","CONFIRMED",31,"2026-08-12 12:30:00","2026-08-31 17:30:00"
6816,"DRA. ROBERTA NOGUEIRA FURTADO BUCARD (MASTOLOGIA)","832432","CONFIRMED",3,"2026-08-31 16:00:00","2026-08-31 17:00:00"
1599,"DR. SÉRGIO MADEIRA (UROLOGIA)","456303","CONFIRMED",8,"2026-08-17 13:40:00","2026-08-31 13:40:00"
