"id","clinicId","type","status","startedAt","endedAt","totalRecords"
"c9df2b12-31cb-44ce-9b5d-0f161cb8c27f","37baa82a-e625-4a1b-ae1d-158ad75037f1","full","push_to_doctoralia","2026-08-18 13:30:05.923",NULL,10751
"4b8b9a6b-c868-4641-9aed-c97f3f846916","37baa82a-e625-4a1b-ae1d-158ad75037f1","full","skipped","2026-08-18 13:30:00.144","2026-08-18 13:30:00.156",0
"5dbdee6e-dcdc-4730-b086-a26323154526","37baa82a-e625-4a1b-ae1d-158ad75037f1","vismed-full","completed","2026-08-18 13:30:00.114","2026-08-18 13:30:19.974",292
"64064615-8882-4a24-81ee-3d2ecfb2649c","e87ca02e-1f7a-4217-92bb-4572069dbf31","full","push_to_doctoralia","2026-08-18 12:39:44.749",NULL,10853
"8592328d-7f31-4b69-9027-3e9d7238f2c5","e87ca02e-1f7a-4217-92bb-4572069dbf31","full","skipped","2026-08-18 12:39:00.101","2026-08-18 12:39:00.107",0
"8b66dfa9-91a9-4330-871d-4af02852df33","e87ca02e-1f7a-4217-92bb-4572069dbf31","vismed-full","completed","2026-08-18 12:39:00.085","2026-08-18 12:39:23.999",418
"a9a7916e-c977-4f28-85ef-00c880b97d92","e66fad0e-b94f-4d6b-83b9-8164c3229b5d","full","completed","2026-08-18 12:36:00.094","2026-08-18 12:36:58.146",13465
"731a421e-2a8d-4092-964d-20abe9f8fb64","e66fad0e-b94f-4d6b-83b9-8164c3229b5d","vismed-full","completed","2026-08-18 12:36:00.083","2026-08-18 12:36:00.362",0
"693ebf5e-699e-47d1-a836-b6877d6d3a4d","74a1f283-95ad-45fe-9dab-8e361ec54034","full","failed","2026-08-18 12:33:00.109","2026-08-18 12:33:46.469",0
"dbad5305-a05e-4fc5-8b02-fb30d39f5b2e","74a1f283-95ad-45fe-9dab-8e361ec54034","vismed-full","completed","2026-08-18 12:33:00.093","2026-08-18 12:33:00.395",0
"bc018030-a1a9-46db-a15e-04bb8fa56b36","37baa82a-e625-4a1b-ae1d-158ad75037f1","full","completed","2026-08-18 12:30:00.563","2026-08-18 12:33:40.34",13477
"db5d5159-13ef-4179-ba76-96208c0819ba","37baa82a-e625-4a1b-ae1d-158ad75037f1","full","skipped","2026-08-18 12:30:00.095","2026-08-18 12:30:00.102",0
"6fae9b6a-7e56-47f0-a826-cc0d95e6e38c","37baa82a-e625-4a1b-ae1d-158ad75037f1","vismed-full","completed","2026-08-18 12:30:00.083","2026-08-18 12:30:20.573",292
"271da020-4c0f-4fe5-9be7-812a1b849543","e87ca02e-1f7a-4217-92bb-4572069dbf31","full","completed","2026-08-18 12:10:18.664","2026-08-18 12:19:54.641",13579
"84ff165e-2c15-475e-b74e-010d6c2a115f","e87ca02e-1f7a-4217-92bb-4572069dbf31","full","skipped","2026-08-18 12:09:00.089","2026-08-18 12:09:00.094",0
