"vismedId","name","doctoralia_doctor_id","doctoraliaFacilityId","mapping_facility_id","enderecos"
6881,"DRA. ADRIANA GONCALVES DA COSTA (PSICÓLOGA)","937733","91711","91711",1
6984,"DRA. ANA ISABELA ALVES DOS ANJOS BORGES (ULTRASSONOGRAFIA)","1468787","91711","91711",1
6848,"DRA. BARBARA TEBET CHALITA CASTELLO BRANCO (OBSTETRICIA/GINECOLOGIA)","937507","91711","91711",1
6898,"DRA. BARBARA VITORIA DO NASCIMENTO (DENTISTA)","937474","91711","91711",1
6966,"DRA BRUNA RIKLY (ESTETICA)","1468781","91711","91711",1
6901,"DRA. CAROLINA WEINCHUTZ DE MENEZES (BIOMEDICA ESTETICA)","937494","91711","91711",1
6983,"DRA. CAROLINE DE MORAES SIQUEIRA CARDOSO (DERMATOLOGIA / CLINICO GERAL)","1468788","91711","91711",1
6886,"DRA. CINTIA DA SILVA MARTINS COELHO FERREIRA (NUTRIÇÃO)","937515","91711","91711",1
1604,"DRA. DANIELA BUÇARD (GINECOLOGIA)","937509","91711","91711",1
5765,"DRA. FERNANDA YACOUB DINIZ (ECO E DOPPLER DE CARÓTIDAS)","503019","91711","91711",1
6933,"DRA. GABRIELA DIAS DA SILVA (CLÍNICA GERAL)","937464","91711","91711",1
6897,"DRA. GLEICE BRANDÃO (DENTISTA)","937471","91711","91711",1
6958,"DRA. ISABELA BAARS (NEUROPSICOLOGA)","898214","91711","91711",1
6968,"DRA. IZABELLE DA SILVA RAMOS (DENTISTA)","865075","91711","91711",1
6961,"DRA JESSICA WIESELTHALLER VICENTE (ESTETICA)","1468786","91711","91711",1
6728,"DRA. LARISSA SOARES SIMÃO (DERMATOLOGIA)","937489","91711","91711",1
6977,"DRA.LEA MARIA FONTENELLE LOUREIRO LIMA ( NEUROLOGIA / PSIQUIATRIA )","883835","91711","91711",1
6990,"DRA. LUIZA PEREIRA DAS NEVES CARDOSO (ULTRASSONOGRAFIA)","1468800","91711","91711",1
6571,"DRA. LUZIA MARCELINO LOURENÇO (PSICÓLOGA)","866482","91711","91711",1
6986,"DRA. MARCELLA ALMEIDA DE SOUZA (ESTETICA)","1468803","91711","91711",1
6896,"DRA. MARIA GABRIELA CAMPOS GOMES (MEDICA DA FAMILIA - CLINICO GERAL - OTORRINO - PSIQUIATRIA - ENDOCRINOLOGIA)","1468805","91711","91711",1
6726,"DRA. MONIQUE FURTUNA DE SOUZA (TERAPIA DE REPROCESSAMENTO GENERATIVO)","937736","91711","91711",1
6816,"DRA. ROBERTA NOGUEIRA FURTADO BUCARD (MASTOLOGIA)","832432","91711","91711",1
6931,"DRA. ROSIMARA NORONHA (NUTRIÇÃO)","937517","91711","91711",1
6885,"DRA. THAYNA GROSSONI GONCALVES LACERDA (CLÍNICA GERAL, ENDOCRINOLOGIA)","937461","91711","91711",1
6849,"DRA. THAYNA MORAIS DE JESUS (GINECO - CLÍNICO - ENDOCRINO - GASTRO - PEDIATRIA - GERIATRIA))","854473","91711","91711",1
6865,"DR. DANILO SIQUEIRA TRAJANO (ANGIOLOGIA - CIRURGIA VASCULAR)","937460","91711","91711",1
4011,"DR DOMINGOS RENATO IMBROISI (CARDIOLOGISTA)","393002","91711","91711",1
5516,"DR. ERICK FRAGA COUTINHO (FISIOTERAPEUTA)","937504","91711","91711",1
6976,"DR. FILIPE CESAR PEREIRA GONDAR (ANGIOLOGIA - CIRURGIA VASCULAR)","1468773","91711","91711",1
6893,"DR. FILLIPI CORREIAS CAMPOS (PSICOLOGO)","858022","91711","91711",1
6992,"DR. IGOR DONADEL FELTRIN (ULTRASSONOGRAFIA)","1468776","91711","91711",1
6970,"DR. JOÃO PEDRO FRIESE ODDO (NUTRICIONISTA)","1468777","91711","91711",1
4038,"DR. JOSE ROBERTO MENDONÇA (NEUROPEDIATRIA/NEUROLOGIA/GERIATRIA/PSIQUIATRIA/CLÍNICO)","144078","91711","91711",1
6959,"DR. LUIZ ANTONIO DE SOUZA (CARDIOLOGIA E CLINICO GERAL)","883828","91711","91711",1
6929,"DR. MARCELLO GOETTNAUER DOS SANTOS (DENTISTA)","937475","91711","91711",1
6808,"DR. MATEUS FERREIRA DE ALMEIDA (OFTALMOLOGIA)","937679","91711","91711",1
6735,"DR. NELSON ARAUJO DE SOUSA ( USG )","937737","91711","91711",1
6894,"DR. RAFAEL ARAGÃO RIBEIRO (MÉDICO DA FAMÍLIA - CLÍNICO GERAL)","937467","91711","91711",1
6921,"DR. RUBEN MENEZES NETO (ALERGO/DERMATO)","310682","91711","91711",1
1599,"DR. SÉRGIO MADEIRA (UROLOGIA)","456303","91711","91711",1
